Timestamp,Chester_X,Chester_Y,Chester_Theta,Detected_Human_X,Detected_Human_Y,Detected_Distance,Detected_Confidence,True_Distance,Human_X,Human_Y
1746642180.25567,-1.99993890683709,-0.49999972925136,3.67248255021158E-05,,,,,,1.28835,-0.545946
1746642180.75583,-1.99993908190701,-0.499999603056709,3.70348499241941E-05,,,,,,1.28835,-0.545946
1746642181.26836,-1.99993905818337,-0.499999601495466,3.73703296324167E-05,,,,,,1.28835,-0.545946
1746642181.76666,-1.99993905818337,-0.499999601495466,3.73703296324167E-05,,,,,,1.28835,-0.545946
1746642182.25335,-1.99993912634723,-0.499999476181532,3.76872228651438E-05,,,,,,1.28835,-0.545946
1746642182.75507,-1.99993910584566,-0.499999521296473,3.80145845458691E-05,,,,,,1.28835,-0.545946
1746642183.2675,-1.99993891521944,-0.499999695946868,3.84219818954147E-05,,,,,,1.28835,-0.545946
1746642183.75657,-1.99993912843021,-0.499999620859838,3.86769553245619E-05,,,,,,1.28835,-0.545946
1746642184.25339,-1.99993915116635,-0.49999959682627,3.90075787632452E-05,,,,,,1.28835,-0.545946
1746642184.75851,-1.9999390283524,-0.499999609259088,3.92276171930628E-05,,,,,,1.28835,-0.545946
1746642185.25812,-1.99993918236515,-0.499999550121975,3.94976212602592E-05,,,,,,1.28835,-0.545946
1746642185.75395,-1.99993917457504,-0.499999602415737,3.98732680793541E-05,,,,,,1.28835,-0.545946
1746642186.25271,-1.99993920704372,-0.499999669250096,4.02623255129134E-05,3.18710684776306,-0.123166374862194,3.18948578834534,0.719964683055878,3.18948578834534,1.28835,-0.545946
1746642186.75613,-1.99993905818313,-0.499999619233615,4.06152464233712E-05,3.18686938285828,-0.129164859652519,3.18948578834534,0.74935120344162,3.18948578834534,1.28835,-0.545946
1746642187.2533,-1.99993923293778,-0.49999964859004,4.09763748455239E-05,3.18686938285828,-0.129164859652519,3.18948578834534,0.74935120344162,3.18948578834534,1.28835,-0.545946
